일별,M001_한식,M002_일식/중식/양식,M003_제과/커피/패스트푸드,M004_기타요식,M005_유흥,M006_백화점,M007_할인점/슈퍼마켓,M008_편의점,M009_기타유통,M010_음/식료품,M011_의복/의류,M012_패션/잡화,M013_스포츠/문화/레저,M014_스포츠/문화/레저용품,M015_숙박,M016_여행,M017_미용서비스,M018_화장품,M019_서비스,M020_인테리어,M021_학원,M022_유아교육,M023_교육용품,M024_병원,M025_약국,M026_기타의료,M027_가전/가구,M028_자동차판매,M029_자동차서비스/용품,M030_주유
2019-02-11,3327 ,642 ,1977 ,2870 ,79 ,457 ,5688 ,4903 ,924 ,1139 ,231 ,114 ,1051 ,188 ,95 ,54 ,322 ,162 ,800 ,149 ,199 ,18 ,177 ,1935 ,1449 ,23 ,947 ,11 ,345 ,1877 
2019-02-12,3495 ,727 ,2030 ,3080 ,97 ,503 ,5622 ,5058 ,548 ,1154 ,240 ,117 ,1042 ,204 ,101 ,50 ,305 ,169 ,287 ,117 ,160 ,11 ,170 ,1634 ,1185 ,21 ,307 ,11 ,343 ,1866 
2019-02-13,3578 ,761 ,2094 ,3169 ,101 ,574 ,5826 ,5234 ,562 ,1185 ,249 ,121 ,1052 ,219 ,105 ,53 ,339 ,215 ,306 ,119 ,136 ,10 ,182 ,1543 ,1111 ,21 ,253 ,9 ,337 ,1883 
2019-02-14,3659 ,820 ,2206 ,3267 ,103 ,593 ,5962 ,5581 ,533 ,1220 ,262 ,121 ,1095 ,254 ,113 ,58 ,338 ,210 ,272 ,116 ,116 ,7 ,178 ,1536 ,1128 ,22 ,225 ,9 ,338 ,1898 
2019-02-15,3856 ,858 ,2117 ,3452 ,132 ,569 ,5666 ,5287 ,490 ,1240 ,246 ,116 ,1157 ,225 ,123 ,56 ,361 ,189 ,667 ,113 ,108 ,7 ,149 ,1604 ,1151 ,21 ,615 ,9 ,328 ,1883 
2019-02-16,4046 ,986 ,2405 ,3787 ,200 ,917 ,6827 ,5087 ,436 ,1428 ,402 ,165 ,1677 ,337 ,216 ,54 ,583 ,230 ,309 ,109 ,75 ,8 ,163 ,1151 ,967 ,17 ,250 ,4 ,381 ,2060 
2019-02-17,3438 ,868 ,2156 ,3254 ,157 ,874 ,6303 ,4621 ,494 ,1114 ,354 ,123 ,1571 ,287 ,195 ,56 ,502 ,125 ,170 ,41 ,39 ,4 ,125 ,137 ,255 ,9 ,198 ,0 ,227 ,1782 
2019-02-18,3357 ,656 ,1973 ,2926 ,86 ,447 ,6020 ,5077 ,809 ,1356 ,228 ,112 ,1076 ,185 ,106 ,55 ,321 ,128 ,323 ,128 ,133 ,433 ,159 ,1899 ,1403 ,23 ,239 ,11 ,353 ,1894 
2019-02-19,3280 ,700 ,1951 ,2958 ,102 ,433 ,5330 ,5035 ,491 ,1157 ,202 ,100 ,1028 ,173 ,102 ,53 ,289 ,116 ,263 ,104 ,117 ,267 ,143 ,1502 ,1062 ,20 ,227 ,9 ,299 ,1601 
2019-02-20,3587 ,780 ,2075 ,3208 ,103 ,500 ,5621 ,5212 ,647 ,1215 ,250 ,119 ,1122 ,218 ,104 ,52 ,347 ,141 ,617 ,128 ,123 ,185 ,223 ,1535 ,1102 ,21 ,585 ,9 ,355 ,1901 
2019-02-21,3671 ,810 ,2119 ,3304 ,107 ,519 ,5664 ,5311 ,481 ,1218 ,263 ,122 ,1132 ,240 ,112 ,57 ,354 ,152 ,287 ,126 ,116 ,126 ,169 ,1524 ,1117 ,22 ,252 ,9 ,361 ,1919 
2019-02-22,3976 ,888 ,2249 ,3634 ,136 ,605 ,6020 ,5549 ,443 ,1340 ,287 ,132 ,1253 ,263 ,127 ,54 ,401 ,161 ,295 ,200 ,123 ,84 ,167 ,1649 ,1205 ,22 ,248 ,10 ,382 ,2016 
2019-02-23,4169 ,1025 ,2494 ,3993 ,205 ,927 ,7189 ,5468 ,414 ,1505 ,441 ,177 ,1709 ,373 ,216 ,54 ,609 ,170 ,337 ,123 ,90 ,11 ,177 ,1134 ,970 ,19 ,255 ,4 ,410 ,2103 
2019-02-24,3645 ,924 ,2291 ,3507 ,160 ,966 ,5194 ,5094 ,511 ,1252 ,403 ,132 ,1611 ,346 ,194 ,59 ,505 ,129 ,178 ,52 ,48 ,8 ,148 ,129 ,234 ,7 ,205 ,0 ,250 ,1795 
2019-02-25,3586 ,729 ,2099 ,3138 ,86 ,501 ,6111 ,5302 ,829 ,1276 ,259 ,128 ,1174 ,221 ,119 ,56 ,355 ,163 ,1284 ,172 ,170 ,54 ,176 ,1935 ,1432 ,24 ,289 ,11 ,377 ,1895 
