"상품군별","범위별",2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06 p),2021. 07 p)
"e쿠폰서비스","계",88648,80796,90149,84933,98613,95019,91627,100868,100399,96038,124328,150210,105594,129231,139594,133138,169050,165691,171906,180791,203876,202733,239185,267753,240122,234109,257544,226798,275980,259856,282476,309178,276810,302371,369420,345362,311692,329168,353174,338952,344708,314304,336553,350128,401636,356650,398516,430739,440480,479509,485374,442112,496088,483505,486430
"e쿠폰서비스","종합몰",84442,77196,86439,81337,94049,91796,88163,96970,95652,91829,118643,142817,100692,123477,134838,128762,163745,161475,167406,175036,197932,198137,233031,258509,230335,225435,248306,217302,265080,250897,271501,298900,265898,291401,356733,328055,299243,318870,341093,322779,330279,303951,321696,339798,387165,345787,387388,411976,427533,460571,467759,423834,480609,471859,470117
"e쿠폰서비스","전문몰",4206,3600,3710,3596,4564,3223,3464,3898,4747,4209,5685,7393,4902,5754,4756,4376,5305,4216,4500,5755,5944,4596,6154,9244,9787,8674,9238,9496,10900,8959,10975,10278,10912,10970,12687,17307,12449,10298,12081,16173,14429,10353,14857,10330,14471,10863,11128,18763,12947,18938,17615,18278,15479,11646,16313
"음식서비스","계",183355,173924,192095,196543,210565,195630,224624,253760,239118,242774,280640,339540,347457,324245,361763,365956,389395,413053,456927,496930,463750,502456,510496,630349,621909,614963,694509,686320,742382,774478,828915,917005,854892,913722,1026981,1059286,1063760,1135266,1252396,1263087,1320737,1253393,1378555,1676636,1603571,1546299,1642587,2197328,2031039,1824484,1966335,1976270,2141055,1972304,2377780
"음식서비스","종합몰",6624,5015,5406,6973,5303,5432,5543,6427,5664,6200,5420,4669,3120,2764,4286,3706,4092,4465,5161,5994,5925,6721,7167,9246,8860,7796,8882,8139,8711,9207,9432,8617,8490,10288,11339,13650,14676,17340,20297,19874,20150,19877,21120,25959,24571,23909,24046,30535,27360,24010,19886,17847,18769,15812,19619
"음식서비스","전문몰",176731,168909,186689,189570,205262,190198,219081,247333,233454,236574,275220,334871,344337,321481,357477,362250,385303,408588,451766,490936,457825,495735,503329,621103,613049,607167,685627,678181,733671,765271,819483,908388,846402,903434,1015642,1045636,1049084,1117926,1232099,1243213,1300587,1233516,1357435,1650677,1579000,1522390,1618541,2166793,2003679,1800474,1946449,1958423,2122286,1956492,2358161
"기타서비스","계",65597,40733,35946,53217,43491,41104,52019,52619,124287,52464,56711,56692,73143,57680,61834,62168,58382,59336,62419,62096,133184,75523,75220,78190,97802,77885,78986,79595,90207,87966,96756,129122,174802,121149,134574,180256,172868,162296,79472,130129,103855,110438,118507,167849,146429,165296,133133,145447,168448,182217,263921,144092,157810,188837,199372
"기타서비스","종합몰",21586,16766,14624,30009,24092,22681,27804,31859,27433,24566,27620,26217,28555,30599,32855,38469,34617,35901,37125,37691,39880,37761,41534,42152,32210,32223,37837,35284,47920,46462,57391,86447,67136,71022,80985,114148,110578,116932,43739,94240,64994,66095,75477,126864,75548,70569,87759,82339,116548,133971,221894,103804,116474,146124,156023
"기타서비스","전문몰",44011,23967,21322,23208,19399,18423,24215,20760,96854,27898,29091,30475,44588,27081,28979,23699,23765,23435,25294,24405,93304,37762,33686,36038,65592,45662,41149,44311,42287,41504,39365,42675,107666,50127,53589,66108,62290,45364,35733,35889,38861,44343,43030,40985,70881,94727,45374,63108,51900,48246,42027,40288,41336,42713,43349
"기타","계",144492,141578,175648,163064,164517,180332,169045,179305,192273,171293,219066,273094,227959,224621,277245,221213,222905,200405,201779,202654,220440,241164,311896,313984,223939,221598,327742,195957,195838,161668,182308,203535,192953,206265,206900,213645,342127,325178,329653,257130,326793,296303,317804,371952,290359,287544,331250,367440,314216,274108,354275,302152,299426,265552,272342
"기타","종합몰",114606,114289,145691,134148,138473,151350,140285,146647,159097,140820,183486,238802,184708,192726,239406,177748,180237,158754,162037,165379,182309,200975,256917,267193,168422,186215,282624,142303,151197,123151,135500,157872,152259,155636,154245,154233,292804,271529,255627,199744,275569,243461,262822,321047,227362,218404,256436,271696,216445,207291,280780,225567,232302,185457,201231
"기타","전문몰",29886,27289,29957,28916,26044,28982,28760,32658,33176,30473,35580,34292,43251,31895,37839,43465,42668,41651,39742,37275,38131,40189,54979,46791,55517,35383,45118,53654,44641,38517,46808,45663,40694,50629,52655,59412,49323,53649,74026,57386,51224,52842,54982,50905,62997,69140,74814,95744,97771,66817,73495,76585,67124,80095,71111
