학교종류명,도로명우편번호,도로명주소
초등학교,6598,서울특별시 서초구 고무래로 63
초등학교,6574,서울특별시 서초구 방배로 260
초등학교,6097,서울특별시 강남구 봉은사로63길 22
초등학교,6078,서울특별시 강남구 학동로 610
초등학교,6700,서울특별시 서초구 효령로4길 58
초등학교,6663,서울특별시 서초구 방배로18길 52
초등학교,6570,서울특별시 서초구 방배중앙로13길 26
초등학교,6502,서울특별시 서초구 신반포로 55-4
초등학교,6510,서울특별시 서초구 잠원로3길 28
초등학교,6780,서울특별시 서초구 언남길 8
초등학교,6213,서울특별시 강남구 역삼로 313
초등학교,6205,서울특별시 강남구 선릉로64길 33
초등학교,6187,서울특별시 강남구 역삼로98길 16
초등학교,6291,서울특별시 강남구 양재천로 363
초등학교,6341,서울특별시 강남구 양재대로55길 28
초등학교,6334,서울특별시 강남구 개포로109길 74
초등학교,6365,서울특별시 강남구 헌릉로618길 8
초등학교,6363,서울특별시 강남구 광평로20길 27
초등학교,6277,서울특별시 강남구 선릉로 209
초등학교,6288,서울특별시 강남구 남부순환로 3022
초등학교,6119,서울특별시 강남구 강남대로120길 33
초등학교,6305,서울특별시 강남구 개포로 263
초등학교,6331,서울특별시 강남구 영동대로3길 45
초등학교,6323,서울특별시 강남구 개포로 401
초등학교,6321,서울특별시 강남구 선릉로 29
초등학교,6504,서울특별시 서초구 신반포로19길 23
초등학교,6639,서울특별시 서초구 서초중앙로 96
초등학교,7576,서울특별시 강서구 화곡로69길 9
초등학교,8049,서울특별시 양천구 신정이펜2로 30
초등학교,7725,서울특별시 강서구 까치산로10길 70
초등학교,7722,서울특별시 강서구 초록마을로 28
초등학교,7525,서울특별시 강서구 허준로 109
초등학교,7514,서울특별시 강서구 방화대로47길 43
초등학교,8053,서울특별시 양천구 신정로11길 74
초등학교,7961,서울특별시 양천구 목동중앙로3길 30-10
초등학교,7518,서울특별시 강서구 방화대로50길 22
초등학교,8080,서울특별시 양천구 신정로13가길 30
초등학교,8100,서울특별시 양천구 목동남로 85
초등학교,7980,서울특별시 양천구 목동중앙로 132
초등학교,7761,서울특별시 강서구 월정로 176
초등학교,7689,서울특별시 강서구 화곡로 263
초등학교,7982,서울특별시 양천구 목동중앙로 70
초등학교,7554,서울특별시 강서구 양천로 646-28
초등학교,7542,서울특별시 강서구 양천로73길 17
초등학교,7535,서울특별시 강서구 양천로69길 49
초등학교,7971,서울특별시 양천구 목동중앙북로16길 57
초등학교,7523,서울특별시 강서구 양천로 329
초등학교,7909,서울특별시 양천구 화곡로 16
초등학교,8021,서울특별시 양천구 목동로11길 30
초등학교,8091,서울특별시 양천구 중앙로 204
초등학교,7942,서울특별시 양천구 오목로23길 24
초등학교,7935,서울특별시 양천구 오목로 101
초등학교,7746,서울특별시 강서구 곰달래로31가길 27
초등학교,7716,서울특별시 강서구 강서로31길 48
초등학교,7915,서울특별시 양천구 남부순환로58길 32
초등학교,8089,서울특별시 양천구 목동서로10길 35
초등학교,8017,서울특별시 양천구 신목로5길 11-6
초등학교,8065,서울특별시 양천구 남부순환로83길
초등학교,8106,서울특별시 양천구 신정로 292
초등학교,7731,서울특별시 강서구 등촌로13자길 42-14
초등학교,7931,서울특별시 양천구 중앙로55길 72
초등학교,7643,서울특별시 강서구 수명로1길 84
초등학교,7598,서울특별시 강서구 방화대로34길 2
초등학교,7619,서울특별시 강서구 공항대로3길 18
초등학교,8002,서울특별시 양천구 목동로8길 19
초등학교,7508,서울특별시 강서구 금낭화로 222
초등학교,7564,서울특별시 강서구 공항대로 491
초등학교,7611,서울특별시 강서구 양천로6길 92
초등학교,7640,서울특별시 강서구 강서로45길 113
초등학교,7978,서울특별시 양천구 목동중앙로 204
초등학교,7996,서울특별시 양천구 목동동로 235
초등학교,8010,서울특별시 양천구 목동동로12길 12
초등학교,7578,서울특별시 강서구 화곡로65길 124
초등학교,7669,서울특별시 강서구 등촌로39길 71
초등학교,7577,서울특별시 강서구 화곡로65길 90
초등학교,7580,서울특별시 강서구 강서로56나길 140
초등학교,7656,서울특별시 강서구 화곡로58길 86
초등학교,7585,서울특별시 강서구 강서로56나길 34
초등학교,7672,서울특별시 강서구 등촌로35길 12
초등학교,7693,서울특별시 강서구 강서로46길 23
초등학교,8077,서울특별시 양천구 중앙로23길 3
초등학교,7798,서울특별시 강서구 마곡서1로 68
초등학교,7810,서울특별시 강서구 마곡서로 33
초등학교,8099,서울특별시 양천구 목동동로2길 54
초등학교,7985,서울특별시 양천구 안양천로 1009
초등학교,7507,서울특별시 강서구 양천로 11
초등학교,8042,서울특별시 양천구 신월로 97
초등학교,7901,서울특별시 양천구 월정로 280
초등학교,7930,서울특별시 양천구 오목로 31
초등학교,8100,서울특별시 양천구 목동로 31
초등학교,7533,서울 강서구 허준로 186
초등학교,7633,서울특별시 강서구 공항대로36길 74
초등학교,3087,서울특별시 종로구 대학로 64
초등학교,3131,서울특별시 종로구 삼일대로 460
초등학교,4313,서울특별시 용산구 청파로 263
초등학교,4628,서울특별시 중구 소파로2길 10
초등학교,4586,서울특별시 중구 청구로6길 11
