일별,성별,연령대별,업종,카드이용건수(천건),Unnamed: 5,Unnamed: 6,Unnamed: 7
20190216,M,50대,M001_한식,502.2,,,
20190216,M,60대,M001_한식,200.0,,,
20190216,M,70대,M001_한식,63.3,,,
20190217,F,20대,M001_한식,312.2,,,
20190217,F,30대,M001_한식,281.4,,,
20190217,F,40대,M001_한식,335.8,,,
20190217,F,50대,M001_한식,254.4,,,
20190217,F,60대,M001_한식,89.6,,,
20190217,F,70대,M001_한식,22.8,,,
20190217,M,20대,M001_한식,448.5,,,
20190217,M,30대,M001_한식,504.8,,,
20190217,M,40대,M001_한식,530.5,,,
20190217,M,50대,M001_한식,425.9,,,
20190217,M,60대,M001_한식,176.5,,,
20190217,M,70대,M001_한식,53.9,,,
20190218,F,20대,M001_한식,327.9,,,
20190218,F,30대,M001_한식,295.4,,,
20190218,F,40대,M001_한식,353.2,,,
20190218,F,50대,M001_한식,264.6,,,
20190218,F,60대,M001_한식,90.7,,,
20190218,F,70대,M001_한식,25.9,,,
20190218,M,20대,M001_한식,412.5,,,
20190218,M,30대,M001_한식,471.1,,,
20190218,M,40대,M001_한식,495.5,,,
20190218,M,50대,M001_한식,396.3,,,
20190218,M,60대,M001_한식,165.8,,,
20190218,M,70대,M001_한식,56.6,,,
20190219,F,20대,M001_한식,317.3,,,
20190219,F,30대,M001_한식,285.6,,,
20190219,F,40대,M001_한식,345.4,,,
20190219,F,50대,M001_한식,251.3,,,
20190219,F,60대,M001_한식,81.0,,,
20190219,F,70대,M001_한식,21.7,,,
20190219,M,20대,M001_한식,401.9,,,
20190219,M,30대,M001_한식,468.4,,,
20190219,M,40대,M001_한식,504.4,,,
20190219,M,50대,M001_한식,397.2,,,
20190219,M,60대,M001_한식,159.4,,,
20190219,M,70대,M001_한식,48.1,,,
20190220,F,20대,M001_한식,338.9,,,
20190220,F,30대,M001_한식,316.3,,,
20190220,F,40대,M001_한식,386.5,,,
20190220,F,50대,M001_한식,286.3,,,
20190220,F,60대,M001_한식,97.8,,,
20190220,F,70대,M001_한식,27.5,,,
20190220,M,20대,M001_한식,421.1,,,
20190220,M,30대,M001_한식,500.0,,,
20190220,M,40대,M001_한식,541.3,,,
20190220,M,50대,M001_한식,432.1,,,
20190220,M,60대,M001_한식,179.3,,,
20190220,M,70대,M001_한식,59.9,,,
20190221,F,20대,M001_한식,344.9,,,
20190221,F,30대,M001_한식,325.2,,,
20190221,F,40대,M001_한식,398.4,,,
20190221,F,50대,M001_한식,300.2,,,
20190221,F,60대,M001_한식,103.0,,,
20190221,F,70대,M001_한식,29.5,,,
20190221,M,20대,M001_한식,422.4,,,
20190221,M,30대,M001_한식,504.8,,,
20190221,M,40대,M001_한식,551.8,,,
20190221,M,50대,M001_한식,442.0,,,
20190221,M,60대,M001_한식,185.2,,,
20190221,M,70대,M001_한식,63.9,,,
20190222,F,20대,M001_한식,366.3,,,
20190222,F,30대,M001_한식,358.2,,,
