학교종류명,도로명우편번호,도로명주소,위도,경도
서울은정초등학교,8100,서울특별시 양천구 목동남로 85,37.51112797,126.8670434
서울월촌초등학교,7980,서울특별시 양천구 목동중앙로 132,37.54069543,126.876258
서울월정초등학교,7761,서울특별시 강서구 월정로 176,37.53499419,126.8362936
서울우장초등학교,7689,서울특별시 강서구 화곡로 263,37.54963819,126.8459842
서울영도초등학교,7982,서울특별시 양천구 목동중앙로 70,37.53594995,126.8719426
서울염창초등학교,7554,서울특별시 강서구 양천로 646-28,37.55322614,126.8676002
서울염동초등학교,7542,서울특별시 강서구 양천로73길 17,37.55209548,126.8723509
서울염경초등학교,7535,서울특별시 강서구 양천로69길 49,37.55500067,126.8712046
서울양화초등학교,7971,서울특별시 양천구 목동중앙북로16길 57,37.5436693,126.873986
서울양천초등학교,7523,서울특별시 강서구 양천로 329,37.57018817,126.8395397
서울양원초등학교,7909,서울특별시 양천구 화곡로 16,37.53821733,126.8231052
서울양목초등학교,8021,서울특별시 양천구 목동로11길 30,37.52391851,126.8614719
서울양명초등학교,8091,서울특별시 양천구 중앙로 204,37.51637495,126.8566349
서울양동초등학교,7942,서울특별시 양천구 오목로23길 24,37.52584826,126.8512402
서울양강초등학교,7935,서울특별시 양천구 오목로 101,37.52423449,126.8478515
서울신정초등학교,7746,서울특별시 강서구 곰달래로31가길 27,37.53207171,126.8523579
서울신월초등학교,7716,서울특별시 강서구 강서로31길 48,37.54036551,126.8394555
서울신원초등학교,7915,서울특별시 양천구 남부순환로58길 32,37.52951558,126.8298656
서울신서초등학교,8089,서울특별시 양천구 목동서로10길 35,37.52055887,126.8623309
서울신목초등학교,8017,서울특별시 양천구 신목로5길 11-6,37.51661098,126.8726408
서울신남초등학교,8065,서울특별시 양천구 남부순환로83길,37.51645783,126.8431522
서울신기초등학교,8106,서울특별시 양천구 신정로 292,37.51131231,126.854213
서울신곡초등학교,7731,서울특별시 강서구 등촌로13자길 42-14,37.53909546,126.8560096
